City_ID,city,country,date,lat,lng,max_temp,humidity,cloudiness,wind_speed
250,Tuxtla,MX,2021-01-19 03:18:34,16.75,-93.1167,66.2,82,20,3.44
251,Changli,CN,2021-01-19 03:18:34,39.7042,119.1506,18.97,85,98,6.85
252,Ribeira Grande,PT,2021-01-19 03:18:35,38.5167,-28.7,63.27,88,100,34.49
253,Kankan,GN,2021-01-19 03:18:35,10.3854,-9.3057,66.11,24,59,3.71
254,Punta De Piedra,VE,2021-01-19 03:18:35,7.6176,-71.4916,74.37,70,89,1.92
255,Ishigaki,JP,2021-01-19 03:18:35,24.3448,124.1572,64.4,68,75,18.41
256,Lompoc,US,2021-01-19 03:16:05,34.6391,-120.4579,66.2,37,1,13.8
257,Maunabo,PR,2021-01-19 03:18:35,18.0072,-65.8993,75.99,88,65,11.7
258,Ambon,ID,2021-01-19 03:18:35,-3.6954,128.1814,89.6,62,20,5.75
259,Luganville,VU,2021-01-19 03:18:35,-15.5333,167.1667,86.85,68,91,8.21
260,Port Blair,IN,2021-01-19 03:18:36,11.6667,92.75,82.4,74,75,8.05
261,Hami,CN,2021-01-19 03:18:36,42.8,93.45,20.8,70,16,2.95
262,Asuncion Mita,GT,2021-01-19 03:14:28,14.3308,-89.7108,70.29,75,30,6.89
263,Igarka,RU,2021-01-19 03:18:36,67.4667,86.5833,-10.82,88,100,10.27
264,Mogadishu,SO,2021-01-19 03:18:36,2.0371,45.3438,75.16,81,100,17.43
265,Batemans Bay,AU,2021-01-19 03:18:36,-35.7167,150.1833,77.0,56,12,8.99
266,Oudtshoorn,ZA,2021-01-19 03:18:36,-33.5907,22.2014,59.0,100,20,6.91
267,Heihe,CN,2021-01-19 03:18:37,50.2441,127.4902,-9.4,45,0,6.71
268,Tanout,NE,2021-01-19 03:18:37,14.9709,8.8879,58.75,32,99,13.89
269,Bengkulu,ID,2021-01-19 03:18:37,-3.8004,102.2655,82.9,63,96,1.63
270,Neiafu,TO,2021-01-19 03:18:37,-18.65,-173.9833,86.0,74,20,9.22
271,Lagoa,PT,2021-01-19 03:18:37,39.05,-27.9833,60.93,94,100,37.07
272,Lae,PG,2021-01-19 03:18:37,-6.7221,146.9847,93.2,43,40,4.61
273,Tongzi,CN,2021-01-19 03:18:37,28.7829,105.0877,48.11,60,0,2.89
274,Hannibal,US,2021-01-19 03:18:38,39.7084,-91.3585,33.01,100,90,3.44
275,Yambio,SS,2021-01-19 03:18:38,4.5721,28.3955,67.24,35,78,1.21
276,Caxito,AO,2021-01-19 03:18:38,-8.5785,13.6643,75.2,83,40,4.61
277,Sao Filipe,CV,2021-01-19 03:18:38,14.8961,-24.4956,73.2,65,100,9.62
278,Shimoda,JP,2021-01-19 03:18:38,34.6667,138.95,46.4,57,75,12.66
279,Bambous Virieux,MU,2021-01-19 03:18:38,-20.3428,57.7575,80.01,94,40,10.36
280,Mezen,RU,2021-01-19 03:18:38,65.8522,44.24,19.44,97,100,10.85
281,Viedma,AR,2021-01-19 03:18:39,-40.8135,-62.9967,70.0,44,0,9.57
282,Adrar,MR,2021-01-19 03:18:39,20.5022,-10.0711,57.2,31,100,13.76
283,Tessalit,ML,2021-01-19 03:18:39,20.1986,1.0114,60.73,28,32,13.91
284,Arumbavur,IN,2021-01-19 03:18:39,11.3833,78.7333,71.6,88,40,5.75
285,Yarada,IN,2021-01-19 03:18:40,17.65,83.2667,71.6,83,20,2.3
286,Manoel Urbano,BR,2021-01-19 03:18:40,-8.8389,-69.2597,71.91,97,95,4.94
287,Storslett,NO,2021-01-19 03:18:40,69.7678,21.0247,24.1,93,97,5.48
288,Kahului,US,2021-01-19 03:18:40,20.8947,-156.47,71.6,83,90,24.16
289,Komsomolskiy,UZ,2021-01-19 03:18:40,40.4272,71.7189,37.4,70,100,6.91
290,Sainte-Suzanne,RE,2021-01-19 03:18:40,-20.9061,55.6089,82.4,74,83,13.8
291,Shu,KZ,2021-01-19 03:18:40,43.5983,73.7614,38.62,72,99,3.53
292,Patitirion,GR,2021-01-19 03:18:41,39.15,23.8667,41.0,81,20,6.91
